id,user,text,created_at_in_seconds,created_at,retweeted,favorite_count,hashtags,urls
1096796552507678725,rioferdy5,RT Aspire Football: Academy Trials Has Some Exciting Talent This Morning. aspire https://t.co/T02LPzjQWD,1550331650,Sat Feb 16 15:40:50 +0000 2019,False,0,aspire,
1096771003907301376,rioferdy5,RT btsportfootball: Those two letters I hold dear to my heart. RobbieSavage8 remembers Eric Harrison and the advice he gave him. Sat ,1550325559,Sat Feb 16 13:59:19 +0000 2019,False,0,,
1096743270875623424,rioferdy5, SpencerOwen https://t.co/WEQUYDjLts,1550318946,Sat Feb 16 12:09:06 +0000 2019,False,653,,https://t.co/WEQUYDjLts
1096448932610260992,rioferdy5,COMPETITION TIME: Don t miss out last chance to join me on the pitch in Portugal this summer Enter the competiti https://t.co/ZvKqlHXWoa,1550248771,Fri Feb 15 16:39:31 +0000 2019,False,257,,https://t.co/ZvKqlHXWoa
1095786010724556802,rioferdy5,England s Future... Sanchooo10 btsportfootball https://t.co/v4KfSifj5K,1550090718,Wed Feb 13 20:45:18 +0000 2019,False,3530,,
1095665208658456576,rioferdy5,Top work from the btsportfootball digital team... not the result we wanted but time to stay UNITED https://t.co/BjaCxry73d,1550061916,Wed Feb 13 12:45:16 +0000 2019,False,934,,https://t.co/BjaCxry73d
1095586115388493826,rioferdy5,Always enjoy seeing The Boss in good spirits Great to be back at OT last night. Not the best result we were hoping https://t.co/Wxt8KCXKer,1550043059,Wed Feb 13 07:30:59 +0000 2019,False,2839,,https://t.co/Wxt8KCXKer
1095422253372649472,rioferdy5, StephenFerris6 Nice one ,1550003991,Tue Feb 12 20:39:51 +0000 2019,False,789,,
1095396926252408832,rioferdy5,Show Time at Old Trafford... btsportfootball https://t.co/mIQ3vZZozo,1549997953,Tue Feb 12 18:59:13 +0000 2019,False,5822,,
1095369339744731136,rioferdy5,RT btsportfootball: Debate: How far can Ole Gunnar Solskjaer take Man Utd in the Champions League https://t.co/gncWA5FWXn,1549991376,Tue Feb 12 17:09:36 +0000 2019,False,0,,https://t.co/gncWA5FWXn
1095333921611366402,rioferdy5, On my way to OT for tonight amp it s the 1st time in a few years I m going up the motorway not feeling depressed ab https://t.co/LgMBlNVIg7,1549982931,Tue Feb 12 14:48:51 +0000 2019,False,7523,,https://t.co/LgMBlNVIg7
1095320138163851265,rioferdy5,RT Sporf: Our thoughts are with the family and friends of Gordon Banks who has sadly passed away at the age of 81. England s 1966 W ,1549979645,Tue Feb 12 13:54:05 +0000 2019,False,0,,
1095262053281992704,rioferdy5,Ole s at the wheel... https://t.co/zkd2BXjJmN,1549965797,Tue Feb 12 10:03:17 +0000 2019,False,7041,,https://t.co/zkd2BXjJmN
1095074224379740162,rioferdy5,RT btsportfootball: The red carpet has been rolled out... The game s biggest stars are arriving for the Champions League knockouts An ,1549921015,Mon Feb 11 21:36:55 +0000 2019,False,0,,
1095035339792629765,rioferdy5,Big game tomorrow night.. PSG under the lights at OT When the music plays...game time I ve picked out some famous https://t.co/v98isRrUFg,1549911744,Mon Feb 11 19:02:24 +0000 2019,False,7431,,https://t.co/v98isRrUFg
1094936471914582016,rioferdy5,RT RobbieSavage8: Thank you to you all for watching engaging in saturdaysav another 2.2million of you watched the clips engaged with ,1549888172,Mon Feb 11 12:29:32 +0000 2019,False,0,saturdaysav,
1094664025835630592,rioferdy5, What this beautiful woman has brought to all of our lives is hard to put into words. But this picture of excitem https://t.co/pmYQNC5fvF,1549823216,Sun Feb 10 18:26:56 +0000 2019,False,2947,,https://t.co/pmYQNC5fvF
1094526086044676096,rioferdy5, One thing that is in no doubt is that Ole has lifted the doom amp gloom that has surrounded Old Trafford in recent t https://t.co/UW6ebU8lbe,1549790328,Sun Feb 10 09:18:48 +0000 2019,False,7823,,https://t.co/UW6ebU8lbe
